title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Catalysis Today,0920-5861,Elsevier,,100%,Hybrid
CATENA,0341-8162,Elsevier,,100%,Hybrid
Cell Calcium,0143-4160,Elsevier,,100%,Hybrid
Cells & Development,2667-2901,Elsevier,,100%,Hybrid
Cellular Immunology,0008-8749,Elsevier,,100%,Hybrid
Cellular Signalling,0898-6568,Elsevier,,100%,Hybrid
Cement and Concrete Composites,0958-9465,Elsevier,,100%,Hybrid
Cement and Concrete Research,0008-8846,Elsevier,,100%,Hybrid
Ceramics International,0272-8842,Elsevier,,100%,Hybrid
"Chaos, Solitons & Fractals",0960-0779,Elsevier,,100%,Hybrid
Chemical Data Collections,2405-8300,Elsevier,,100%,Hybrid
Chemical Engineering and Processing - Process Intensification,0255-2701,Elsevier,,100%,Hybrid
Chemical Engineering Journal,1385-8947,Elsevier,,100%,Hybrid
Chemical Engineering Research and Design,0263-8762,Elsevier,,100%,Hybrid
Chemical Engineering Science,0009-2509,Elsevier,,100%,Hybrid
Chemical Geology,0009-2541,Elsevier,,100%,Hybrid
Chemical Physics,0301-0104,Elsevier,,100%,Hybrid
Chemical Physics Letters,0009-2614,Elsevier,,100%,Hybrid
Chemico-Biological Interactions,0009-2797,Elsevier,,100%,Hybrid
Chemistry and Physics of Lipids,0009-3084,Elsevier,,100%,Hybrid
Chemometrics and Intelligent Laboratory Systems,0169-7439,Elsevier,,100%,Hybrid
Chemosphere,0045-6535,Elsevier,,100%,Hybrid
Child Abuse & Neglect,0145-2134,Elsevier,,100%,Hybrid
Children and Youth Services Review,0190-7409,Elsevier,,100%,Hybrid
China Economic Review,1043-951X,Elsevier,,100%,Hybrid
Chinese Journal of Chemical Engineering,1004-9541,Elsevier,,100%,Hybrid
Chinese Journal of Physics,0577-9073,Elsevier,,100%,Hybrid
CIRP Annals,0007-8506,Elsevier,,100%,Hybrid
CIRP Journal of Manufacturing Science and Technology,1755-5817,Elsevier,,100%,Hybrid
Cirugía Española (English edition),2173-5077,Elsevier,,100%,Hybrid
Cities,0264-2751,Elsevier,,100%,Hybrid
"City, Culture and Society",1877-9166,Elsevier,,100%,Hybrid
Clinica Chimica Acta,0009-8981,Elsevier,,100%,Hybrid
Clínica e Investigación en Arteriosclerosis (English Edition),2529-9123,Elsevier,,100%,Hybrid
Clinical Biochemistry,0009-9120,Elsevier,,100%,Hybrid
Clinical Biomechanics,0268-0033,Elsevier,,100%,Hybrid
Clinical Breast Cancer,1526-8209,Elsevier,,100%,Hybrid
Clinical Colorectal Cancer,1533-0028,Elsevier,,100%,Hybrid
Clinical Genitourinary Cancer,1558-7673,Elsevier,,100%,Hybrid
Clinical Imaging,0899-7071,Elsevier,,100%,Hybrid
Clinical Immunology,1521-6616,Elsevier,,100%,Hybrid
Clinical Lung Cancer,1525-7304,Elsevier,,100%,Hybrid
"Clinical Lymphoma, Myeloma & Leukemia",2152-2650,Elsevier,,100%,Hybrid
Clinical Microbiology Newsletter,0196-4399,Elsevier,,100%,Hybrid
Clinical Neurology and Neurosurgery,0303-8467,Elsevier,,100%,Hybrid
Clinical Neurophysiology,1388-2457,Elsevier,,100%,Hybrid
Clinical Nutrition,0261-5614,Elsevier,,100%,Hybrid
Clinical Nutrition ESPEN,2405-4577,Elsevier,,100%,Hybrid
Clinical Oncology,0936-6555,Elsevier,,100%,Hybrid
Clinical Pediatric Emergency Medicine,1522-8401,Elsevier,,100%,Hybrid
Clinical Psychology Review,0272-7358,Elsevier,,100%,Hybrid
Clinical Radiology,0009-9260,Elsevier,,100%,Hybrid
Clinical Simulation in Nursing,1876-1399,Elsevier,,100%,Hybrid
Clinical Therapeutics,0149-2918,Elsevier,,100%,Hybrid
Clinics and Research in Hepatology and Gastroenterology,2210-7401,Elsevier,,100%,Hybrid
Clinics in Dermatology,0738-081X,Elsevier,,100%,Hybrid
Coastal Engineering,0378-3839,Elsevier,,100%,Hybrid
Cognition,0010-0277,Elsevier,,100%,Hybrid
Cognitive and Behavioral Practice,1077-7229,Elsevier,,100%,Hybrid
Cognitive Development,0885-2014,Elsevier,,100%,Hybrid
Cognitive Psychology,0010-0285,Elsevier,,100%,Hybrid
Cognitive Systems Research,1389-0417,Elsevier,,100%,Hybrid
Cold Regions Science and Technology,0165-232X,Elsevier,,100%,Hybrid
Collegian,1322-7696,Elsevier,,100%,Hybrid
Colloids and Surfaces A: Physicochemical and Engineering Aspects,0927-7757,Elsevier,,100%,Hybrid
Colloids and Surfaces B: Biointerfaces,0927-7765,Elsevier,,100%,Hybrid
Combustion and Flame,0010-2180,Elsevier,,100%,Hybrid
Communications in Nonlinear Science and Numerical Simulation,1007-5704,Elsevier,,100%,Hybrid
Comparative Biochemistry and Physiology - Part A: Molecular & Integrative Physiology,1095-6433,Elsevier,,100%,Hybrid
Comparative Biochemistry and Physiology - Part B: Biochemistry & Molecular Biology,1096-4959,Elsevier,,100%,Hybrid
Comparative Biochemistry and Physiology - Part C: Toxicology & Pharmacology,1532-0456,Elsevier,,100%,Hybrid
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,1744-117X,Elsevier,,100%,Hybrid
"Comparative Immunology, Microbiology & Infectious Diseases",0147-9571,Elsevier,,100%,Hybrid
Complementary Therapies in Clinical Practice,1744-3881,Elsevier,,100%,Hybrid
Composite Structures,0263-8223,Elsevier,,100%,Hybrid
Composites Communications,2452-2139,Elsevier,,100%,Hybrid
Composites Part A: Applied Science and Manufacturing,1359-835X,Elsevier,,100%,Hybrid
Composites Part B: Engineering,1359-8368,Elsevier,,100%,Hybrid
Composites Science and Technology,0266-3538,Elsevier,,100%,Hybrid
Computational and Theoretical Chemistry,2210-271X,Elsevier,,100%,Hybrid
Computational Biology and Chemistry,1476-9271,Elsevier,,100%,Hybrid
Computational Condensed Matter,2352-2143,Elsevier,,100%,Hybrid
Computational Geometry,0925-7721,Elsevier,,100%,Hybrid
Computational Materials Science,0927-0256,Elsevier,,100%,Hybrid
Computational Statistics & Data Analysis,0167-9473,Elsevier,,100%,Hybrid
Computational Toxicology,2468-1113,Elsevier,,100%,Hybrid
Computer Aided Geometric Design,0167-8396,Elsevier,,100%,Hybrid
Computer Communications,0140-3664,Elsevier,,100%,Hybrid
Computer Law & Security Review,0267-3649,Elsevier,,100%,Hybrid
Computer Methods and Programs in Biomedicine,0169-2607,Elsevier,,100%,Hybrid
Computer Methods in Applied Mechanics and Engineering,0045-7825,Elsevier,,100%,Hybrid
Computer Networks,1389-1286,Elsevier,,100%,Hybrid
Computer Physics Communications,0010-4655,Elsevier,,100%,Hybrid
Computer Science Review,1574-0137,Elsevier,,100%,Hybrid
Computer Speech and Language,0885-2308,Elsevier,,100%,Hybrid
Computer Standards & Interfaces,0920-5489,Elsevier,,100%,Hybrid
Computer Vision and Image Understanding,1077-3142,Elsevier,,100%,Hybrid
Computer-Aided Design,0010-4485,Elsevier,,100%,Hybrid
Computerized Medical Imaging and Graphics,0895-6111,Elsevier,,100%,Hybrid
Computers & Chemical Engineering,0098-1354,Elsevier,,100%,Hybrid
Computers & Education,0360-1315,Elsevier,,100%,Hybrid
Computers & Electrical Engineering,0045-7906,Elsevier,,100%,Hybrid
Computers & Fluids,0045-7930,Elsevier,,100%,Hybrid
Computers & Geosciences,0098-3004,Elsevier,,100%,Hybrid
Computers & Graphics,0097-8493,Elsevier,,100%,Hybrid
Computers & Industrial Engineering,0360-8352,Elsevier,,100%,Hybrid
Computers & Mathematics with Applications,0898-1221,Elsevier,,100%,Hybrid
Computers & Operations Research,0305-0548,Elsevier,,100%,Hybrid
Computers & Security,0167-4048,Elsevier,,100%,Hybrid
Computers & Structures,0045-7949,Elsevier,,100%,Hybrid
Computers and Composition,8755-4615,Elsevier,,100%,Hybrid
Computers and Electronics in Agriculture,0168-1699,Elsevier,,100%,Hybrid
Computers and Geotechnics,0266-352X,Elsevier,,100%,Hybrid
Computers in Biology and Medicine,0010-4825,Elsevier,,100%,Hybrid
Computers in Human Behavior,0747-5632,Elsevier,,100%,Hybrid
Computers in Industry,0166-3615,Elsevier,,100%,Hybrid
"Computers, Environment and Urban Systems",0198-9715,Elsevier,,100%,Hybrid
Consciousness and Cognition,1053-8100,Elsevier,,100%,Hybrid
Construction and Building Materials,0950-0618,Elsevier,,100%,Hybrid
Contact Lens & Anterior Eye,1367-0484,Elsevier,,100%,Hybrid
Contemporary Clinical Trials,1551-7144,Elsevier,,100%,Hybrid
Contemporary Educational Psychology,0361-476X,Elsevier,,100%,Hybrid
Continental Shelf Research,0278-4343,Elsevier,,100%,Hybrid
Contraception,0010-7824,Elsevier,,100%,Hybrid
Control Engineering Practice,0967-0661,Elsevier,,100%,Hybrid
Coordination Chemistry Reviews,0010-8545,Elsevier,,100%,Hybrid
Corrosion Science,0010-938X,Elsevier,,100%,Hybrid
Cortex,0010-9452,Elsevier,,100%,Hybrid
Cretaceous Research,0195-6671,Elsevier,,100%,Hybrid
Critical Perspectives on Accounting,1045-2354,Elsevier,,100%,Hybrid
Critical Reviews in Oncology/Hematology,1040-8428,Elsevier,,100%,Hybrid
Crop Protection,0261-2194,Elsevier,,100%,Hybrid
Cryobiology,0011-2240,Elsevier,,100%,Hybrid
Cryogenics,0011-2275,Elsevier,,100%,Hybrid
Current Applied Physics,1567-1739,Elsevier,,100%,Hybrid
Current Opinion in Behavioral Sciences,2352-1546,Elsevier,,100%,Hybrid
Current Opinion in Biomedical Engineering,2468-4511,Elsevier,,100%,Hybrid
Current Opinion in Biotechnology,0958-1669,Elsevier,,100%,Hybrid
Current Opinion in Cell Biology,0955-0674,Elsevier,,100%,Hybrid
Current Opinion in Chemical Biology,1367-5931,Elsevier,,100%,Hybrid
Current Opinion in Chemical Engineering,2211-3398,Elsevier,,100%,Hybrid
Current Opinion in Colloid & Interface Science,1359-0294,Elsevier,,100%,Hybrid
Current Opinion in Electrochemistry,2451-9103,Elsevier,,100%,Hybrid
Current Opinion in Endocrine and Metabolic Research,2451-9650,Elsevier,,100%,Hybrid
Current Opinion in Environmental Science & Health,2468-5844,Elsevier,,100%,Hybrid
Current Opinion in Environmental Sustainability,1877-3435,Elsevier,,100%,Hybrid
Current Opinion in Food Science,2214-7993,Elsevier,,100%,Hybrid
Current Opinion in Genetics & Development,0959-437X,Elsevier,,100%,Hybrid
Current Opinion in Green and Sustainable Chemistry,2452-2236,Elsevier,,100%,Hybrid
Current Opinion in Immunology,0952-7915,Elsevier,,100%,Hybrid
Current Opinion in Insect Science,2214-5745,Elsevier,,100%,Hybrid
Current Opinion in Microbiology,1369-5274,Elsevier,,100%,Hybrid
Current Opinion in Neurobiology,0959-4388,Elsevier,,100%,Hybrid
Current Opinion in Pharmacology,1471-4892,Elsevier,,100%,Hybrid
Current Opinion in Physiology,2468-8673,Elsevier,,100%,Hybrid
Current Opinion in Plant Biology,1369-5266,Elsevier,,100%,Hybrid
Current Opinion in Psychology,2352-250X,Elsevier,,100%,Hybrid
Current Opinion in Solid State & Materials Science,1359-0286,Elsevier,,100%,Hybrid
Current Opinion in Structural Biology,0959-440X,Elsevier,,100%,Hybrid
Current Opinion in Systems Biology,2452-3100,Elsevier,,100%,Hybrid
Current Opinion in Toxicology,2468-2020,Elsevier,,100%,Hybrid
Current Opinion in Virology,1879-6257,Elsevier,,100%,Hybrid
Current Problems in Cancer,0147-0272,Elsevier,,100%,Hybrid
Current Problems in Cardiology,0146-2806,Elsevier,,100%,Hybrid
Current Problems in Diagnostic Radiology,0363-0188,Elsevier,,100%,Hybrid
Current Problems in Pediatric and Adolescent Health Care,1538-5442,Elsevier,,100%,Hybrid
Current Problems in Surgery,0011-3840,Elsevier,,100%,Hybrid
Current Research in Translational Medicine,2452-3186,Elsevier,,100%,Hybrid
Currents in Pharmacy Teaching and Learning,1877-1297,Elsevier,,100%,Hybrid
Cytokine,1043-4666,Elsevier,,100%,Hybrid
Cytokine & Growth Factor Reviews,1359-6101,Elsevier,,100%,Hybrid
Cytotherapy,1465-3249,Elsevier,,100%,Hybrid
Data & Knowledge Engineering,0169-023X,Elsevier,,100%,Hybrid
Decision Support Systems,0167-9236,Elsevier,,100%,Hybrid
Deep-Sea Research Part I: Oceanographic Research Papers,0967-0637,Elsevier,,100%,Hybrid
Deep-Sea Research Part II: Topical Studies in Oceanography,0967-0645,Elsevier,,100%,Hybrid
Dendrochronologia,1125-7865,Elsevier,,100%,Hybrid
Dental Materials,0109-5641,Elsevier,,100%,Hybrid
Desalination,0011-9164,Elsevier,,100%,Hybrid
Design Studies,0142-694X,Elsevier,,100%,Hybrid
Developmental & Comparative Immunology,0145-305X,Elsevier,,100%,Hybrid
Developmental Biology,0012-1606,Elsevier,,100%,Hybrid
Developmental Review,0273-2297,Elsevier,,100%,Hybrid
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,1871-4021,Elsevier,,100%,Hybrid
Diabetes & Metabolism,1262-3636,Elsevier,,100%,Hybrid
Diabetes Research and Clinical Practice,0168-8227,Elsevier,,100%,Hybrid
Diagnostic and Interventional Imaging,2211-5684,Elsevier,,100%,Hybrid
Diagnostic Microbiology and Infectious Disease,0732-8893,Elsevier,,100%,Hybrid
Diamond and Related Materials,0925-9635,Elsevier,,100%,Hybrid
Differential Geometry and its Applications,0926-2245,Elsevier,,100%,Hybrid
Differentiation,0301-4681,Elsevier,,100%,Hybrid
Digestive and Liver Disease,1590-8658,Elsevier,,100%,Hybrid
Digital Applications in Archaeology and Cultural Heritage,2212-0548,Elsevier,,100%,Hybrid
Digital Signal Processing,1051-2004,Elsevier,,100%,Hybrid
Disability and Health Journal,1936-6574,Elsevier,,100%,Hybrid
"Discourse, Context & Media",2211-6958,Elsevier,,100%,Hybrid
Discrete Applied Mathematics,0166-218X,Elsevier,,100%,Hybrid
Discrete Mathematics,0012-365X,Elsevier,,100%,Hybrid
Discrete Optimization,1572-5286,Elsevier,,100%,Hybrid
Disease-A-Month,0011-5029,Elsevier,,100%,Hybrid
Displays,0141-9382,Elsevier,,100%,Hybrid
DNA Repair,1568-7864,Elsevier,,100%,Hybrid
Domestic Animal Endocrinology,0739-7240,Elsevier,,100%,Hybrid
Drug and Alcohol Dependence,0376-8716,Elsevier,,100%,Hybrid
Drug Discovery Today,1359-6446,Elsevier,,100%,Hybrid
Drug Metabolism and Pharmacokinetics,1347-4367,Elsevier,,100%,Hybrid
Drug Resistance Updates,1368-7646,Elsevier,,100%,Hybrid
Dyes and Pigments,0143-7208,Elsevier,,100%,Hybrid
Dynamics of Atmospheres and Oceans,0377-0265,Elsevier,,100%,Hybrid
Early Childhood Research Quarterly,0885-2006,Elsevier,,100%,Hybrid
Early Human Development,0378-3782,Elsevier,,100%,Hybrid
Earth and Planetary Science Letters,0012-821X,Elsevier,,100%,Hybrid
Earth-Science Reviews,0012-8252,Elsevier,,100%,Hybrid
Eating Behaviors,1471-0153,Elsevier,,100%,Hybrid
Ecohydrology & Hydrobiology,1642-3593,Elsevier,,100%,Hybrid
Ecological Complexity,1476-945X,Elsevier,,100%,Hybrid
Ecological Economics,0921-8009,Elsevier,,100%,Hybrid
Ecological Engineering,0925-8574,Elsevier,,100%,Hybrid
Ecological Genetics and Genomics,2405-9854,Elsevier,,100%,Hybrid
Ecological Modelling,0304-3800,Elsevier,,100%,Hybrid
Econometrics and Statistics,2452-3062,Elsevier,,100%,Hybrid
Economic Analysis and Policy,0313-5926,Elsevier,,100%,Hybrid
Economic Modelling,0264-9993,Elsevier,,100%,Hybrid
Economic Systems,0939-3625,Elsevier,,100%,Hybrid
Economics & Human Biology,1570-677X,Elsevier,,100%,Hybrid
Economics Letters,0165-1765,Elsevier,,100%,Hybrid
Economics of Education Review,0272-7757,Elsevier,,100%,Hybrid
Economics of Transportation,2212-0122,Elsevier,,100%,Hybrid
Ecosystem Services,2212-0416,Elsevier,,100%,Hybrid
Education for Chemical Engineers,1749-7728,Elsevier,,100%,Hybrid
Educational Research Review,1747-938X,Elsevier,,100%,Hybrid
Electoral Studies,0261-3794,Elsevier,,100%,Hybrid
Electric Power Systems Research,0378-7796,Elsevier,,100%,Hybrid
Electrochimica Acta,0013-4686,Elsevier,,100%,Hybrid
Electronic Commerce Research and Applications,1567-4223,Elsevier,,100%,Hybrid
Emerging Markets Review,1566-0141,Elsevier,,100%,Hybrid
"Emotion, Space and Society",1755-4586,Elsevier,,100%,Hybrid
Endeavour,0160-9327,Elsevier,,100%,Hybrid
"Endocrinología, Diabetes y Nutrición (English Edition)",2530-0180,Elsevier,,100%,Hybrid
Energy,0360-5442,Elsevier,,100%,Hybrid
Energy and Buildings,0378-7788,Elsevier,,100%,Hybrid
Energy and Climate Change,2666-2787,Elsevier,,100%,Hybrid
Energy Conversion and Management,0196-8904,Elsevier,,100%,Hybrid
Energy Economics,0140-9883,Elsevier,,100%,Hybrid
Energy for Sustainable Development,0973-0826,Elsevier,,100%,Hybrid
Energy Policy,0301-4215,Elsevier,,100%,Hybrid
Energy Research & Social Science,2214-6296,Elsevier,,100%,Hybrid
Energy Storage Materials,2405-8297,Elsevier,,100%,Hybrid
EnergyChem,2589-7780,Elsevier,,100%,Hybrid
Enfermedades Infecciosas y Microbiología Clínica (English Edition),2529-993X,Elsevier,,100%,Hybrid
Enfermería Clínica (English Edition),2445-1479,Elsevier,,100%,Hybrid
Enfermería Intensiva (English Edition),2529-9840,Elsevier,,100%,Hybrid
Engineering Analysis with Boundary Elements,0955-7997,Elsevier,,100%,Hybrid
Engineering Applications of Artificial Intelligence,0952-1976,Elsevier,,100%,Hybrid
Engineering Failure Analysis,1350-6307,Elsevier,,100%,Hybrid
Engineering Fracture Mechanics,0013-7944,Elsevier,,100%,Hybrid
Engineering Geology,0013-7952,Elsevier,,100%,Hybrid
Engineering Structures,0141-0296,Elsevier,,100%,Hybrid
English for Specific Purposes,0889-4906,Elsevier,,100%,Hybrid
Entertainment Computing,1875-9521,Elsevier,,100%,Hybrid
Environmental and Experimental Botany,0098-8472,Elsevier,,100%,Hybrid
Environmental Development,2211-4645,Elsevier,,100%,Hybrid
Environmental Impact Assessment Review,0195-9255,Elsevier,,100%,Hybrid
Environmental Innovation and Societal Transitions,2210-4224,Elsevier,,100%,Hybrid
Environmental Modelling & Software,1364-8152,Elsevier,,100%,Hybrid
"Environmental Nanotechnology, Monitoring and Management",2215-1532,Elsevier,,100%,Hybrid
Environmental Pollution,0269-7491,Elsevier,,100%,Hybrid
Environmental Research,0013-9351,Elsevier,,100%,Hybrid
Environmental Science & Policy,1462-9011,Elsevier,,100%,Hybrid
Environmental Toxicology and Pharmacology,1382-6689,Elsevier,,100%,Hybrid
Enzyme and Microbial Technology,0141-0229,Elsevier,,100%,Hybrid
Epilepsy & Behavior,1525-5050,Elsevier,,100%,Hybrid
Epilepsy Research,0920-1211,Elsevier,,100%,Hybrid
"Estuarine, Coastal and Shelf Science",0272-7714,Elsevier,,100%,Hybrid
"Ethics, Medicine & Public Health",2352-5525,Elsevier,,100%,Hybrid
eTransportation,2590-1168,Elsevier,,100%,Hybrid
"European Annals of Otorhinolaryngology, Head and Neck Diseases",1879-7296,Elsevier,,100%,Hybrid
European Economic Review,0014-2921,Elsevier,,100%,Hybrid
European Journal of Agronomy,1161-0301,Elsevier,,100%,Hybrid
European Journal of Cancer,0959-8049,Elsevier,,100%,Hybrid
European Journal of Combinatorics,0195-6698,Elsevier,,100%,Hybrid
European Journal of Control,0947-3580,Elsevier,,100%,Hybrid
European Journal of Integrative Medicine,1876-3820,Elsevier,,100%,Hybrid
European Journal of Internal Medicine,0953-6205,Elsevier,,100%,Hybrid
European Journal of Mechanics - A/Solids,0997-7538,Elsevier,,100%,Hybrid
European Journal of Mechanics - B/Fluids,0997-7546,Elsevier,,100%,Hybrid
European Journal of Medicinal Chemistry,0223-5234,Elsevier,,100%,Hybrid
European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,Elsevier,,100%,Hybrid
European Journal of Oncology Nursing,1462-3889,Elsevier,,100%,Hybrid
European Journal of Operational Research,0377-2217,Elsevier,,100%,Hybrid
European Journal of Paediatric Neurology,1090-3798,Elsevier,,100%,Hybrid
European Journal of Pharmaceutics and Biopharmaceutics,0939-6411,Elsevier,,100%,Hybrid
European Journal of Pharmacology,0014-2999,Elsevier,,100%,Hybrid
European Journal of Political Economy,0176-2680,Elsevier,,100%,Hybrid
European Journal of Protistology,0932-4739,Elsevier,,100%,Hybrid
European Journal of Radiology,0720-048X,Elsevier,,100%,Hybrid
European Journal of Soil Biology,1164-5563,Elsevier,,100%,Hybrid
European Journal of Surgical Oncology,0748-7983,Elsevier,,100%,Hybrid
European Journal of Trauma & Dissociation,2468-7499,Elsevier,,100%,Hybrid
European Journal of Vascular and Endovascular Surgery,1078-5884,Elsevier,,100%,Hybrid
European Management Journal,0263-2373,Elsevier,,100%,Hybrid
European Neuropsychopharmacology,0924-977X,Elsevier,,100%,Hybrid
European Polymer Journal,0014-3057,Elsevier,,100%,Hybrid
